卡号/账号,交易机构编号,交易日期,交易时间,借贷标志,发生额,余额,交易简名,摘要描述,对方机构编号,对方账户号,对方户名,现转标志,商户编号,
	88190120004221712,	7720,2018-10-01,74912,	1,184559.76,42927262.05,批量及查询接口(商户入账、手续费),POS消费商户入账,	7720,	77200152621100100069,通江县社保局POS机清算户,	1,  ,
	88190120004221712,	7720,2018-10-08,124046,	1,7095.90,42934357.95,第三方系统存款--汇兑来账自动入账,181008604876通用费用,  ,+32050188170000000675,通江县苏扶电子商务有限公司,	1,  ,
	88190120004221712,	7720,2018-10-09,74622,	1,292830.93,43227188.88,批量及查询接口(商户入账、手续费),POS消费商户入账,	7720,	77200152621100100069,通江县社保局POS机清算户,	1,  ,
	88190120004221712,	7748,2018-10-09,94706,	1,129793.95,43356982.83,网内汇兑解圈存扣款及来账入账,上介社会养老保险,	7748,	88190120003194595,通江县瓦室镇财政所,	1,  ,
	88190120004221712,	7729,2018-10-09,155432,	1,126429.90,43483412.73,网内汇兑解圈存扣款及来账入账,东山乡上解1-6月医保、失业、工伤、生育等,	7729,	88190120002886713,通江县东山乡财政所,	1,  ,
	88190120004221712,	7720,2018-10-10,74728,	1,398567.94,43881980.67,批量及查询接口(商户入账、手续费),POS消费商户入账,	7720,	77200152621100100069,通江县社保局POS机清算户,	1,  ,
	88190120004221712,	7751,2018-10-10,112200,	1,23979.12,43905959.79,网内汇兑解圈存扣款及来账入账,碧溪小学10月社保缴费,	7751,	88190120003787892,通江县永安镇碧溪小学,	1,  ,
	88190120004221712,	7720,2018-10-10,113346,	1,18402.00,43924361.79,支票活期存款,长兴小学社保费,	7720,	88190120003896774,通江县财政国库支付中心,	1,  ,
	88190120004221712,	7720,2018-10-10,114623,	1,93180.00,44017541.79,支票活期存款,长兴小学各项保险费,	7720,	88190120003896774,通江县财政国库支付中心,	1,  ,
	88190120004221712,	7729,2018-10-10,151736,	1,350430.95,44367972.74,网内汇兑解圈存扣款及来账入账,广纳财政所上缴2017年8月至2018年6月五险款,	7729,	88190120002885325,通江县广纳镇财政所,	1,  ,
	88190120004221712,	7720,2018-10-11,173739,	1,92184.48,45113805.86,网银存款--行内转账,支社保费,	7720,	77200120000017708,通江县现代农业融资担保有限公司,	1,  ,
	88190120004221712,	7720,2018-10-11,74703,	1,653648.64,45021621.38,批量及查询接口(商户入账、手续费),POS消费商户入账,	7720,	77200152621100100069,通江县社保局POS机清算户,	1,  ,
	88190120004221712,	7720,2018-10-12,74559,	1,563547.57,45677353.43,批量及查询接口(商户入账、手续费),POS消费商户入账,	7720,	77200152621100100069,通江县社保局POS机清算户,	1,  ,
	88190120004221712,	7720,2018-10-12,84442,	1,38447.20,45715800.63,支票活期存款,民政局转17名转业士官医疗保险费,	7720,	88190120003896774,通江县财政国库支付中心,	1,  ,
	88190120004221712,	7720,2018-10-13,74528,	1,237862.89,45953663.52,批量及查询接口(商户入账、手续费),POS消费商户入账,	7720,	77200152621100100069,通江县社保局POS机清算户,	1,  ,
	88190120004221712,	7738,2018-10-15,170455,	1,552136.58,47343280.61,网内汇兑解圈存扣款及来账入账,2018年1-6月社会保障缴费,	7738,	88190120003060258,四川省通江县至诚职业中学,	1,  ,
	88190120004221712,	7720,2018-10-15,104358,	1,491274.04,46466949.17,第三方系统存款--汇兑来账自动入账,ICBC-20181010-00061,  ,+2318594109022300762,四川省烟草公司巴中市公司通江分公司,	1,  ,
	88190120004221712,	7758,2018-10-15,150421,	1,256755.15,46791144.03,网内汇兑解圈存扣款及来账入账,在职职工4-12月医疗工伤及生育保险费,	7758,	88190120003939696,通江县诺水河中心卫生院,	1,  ,
	88190120004221712,	7720,2018-10-15,131150,	1,67439.71,46534388.88,第三方系统存款--汇兑来账自动入账,大额汇兑来账,  ,+2318594109000082259,通江聚龙酒店管理有限公司,	1,  ,
	88190120004221712,	7738,2018-10-15,171136,	1,130924.00,47474204.61,网内汇兑解圈存扣款及来账入账,2018年1-6社会保障缴费,	7738,	88190120003060258,四川省通江县至诚职业中学,	1,  ,
	88190120004221712,	7720,2018-10-15,90632,	1,22011.61,45975675.13,支票活期存款,大兴乡10月份社保费,	7720,	88190120003896774,通江县财政国库支付中心,	1,  ,
